week,Australia,Austria,Bahrain,Belgium,Brazil,Canada,Channel Islands,Cyprus,Czech Republic,Denmark,EIRE,European Community,Finland,France,Germany,Greece,Iceland,Israel,Italy,Japan,Korea,Lebanon,Lithuania,Malta,Netherlands,Nigeria,Norway,Poland,Portugal,RSA,Saudi Arabia,Singapore,Spain,Sweden,Switzerland,Thailand,USA,United Arab Emirates,United Kingdom,Unspecified,West Indies
2009-12-06,196.10000000000002,,,439.1,,,989.18,760.69,,1008.0,2369.61,,,3319.16,1213.07,,,,,,,,,,6219.3,,,371.82,2454.68,,,,435.88,,,,141.0,,213000.35,,
2009-12-13,0.0,1429.83,,8.5,,,0.0,0.0,,0.0,2746.92,,549.08,2088.72,3605.27,610.95,,,,,,,,,104.15,,485.31,0.0,366.9,,,,412.6,285.29999999999995,,,0.0,517.7,195810.04,,
2009-12-20,75.0,0.0,,0.0,,,0.0,2796.29,,429.66,5941.25,,0.0,975.06,4477.08,0.0,,,422.35,,,,,,8881.28,,0.0,0.0,0.0,,,,1952.64,0.0,589.4,,0.0,0.0,182396.74,,
2009-12-27,0.0,568.51,,0.0,,,0.0,0.0,,0.0,7112.68,,0.0,138.75,801.4300000000001,0.0,,,0.0,,,,,,0.0,,0.0,0.0,0.0,,,,5149.06,0.0,0.0,,0.0,0.0,22007.77,,
2010-01-03,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,,,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,
2010-01-10,0.0,0.0,,404.55,,,0.0,0.0,,0.0,49191.92,,0.0,5021.12,205.75,0.0,,,0.0,,,,,,0.0,,0.0,0.0,0.0,,,,760.24,26.05,0.0,,0.0,0.0,112318.85,,
2010-01-17,0.0,0.0,,1120.27,,,0.0,0.0,,881.2,2189.45,,738.1800000000001,1208.8,4976.43,859.27,,,0.0,2.95,,,,,486.33,,0.0,0.0,0.0,,,,1410.99,0.0,0.0,,563.4200000000001,0.0,111460.47,,
2010-01-24,0.0,0.0,,0.0,,,838.75,0.0,,6989.4,9565.210000000001,,0.0,1325.28,2689.16,2507.06,,,0.0,0.0,,,,,10173.56,,0.0,0.0,0.0,,,,1120.46,1352.4,0.0,,1130.22,0.0,82065.331,211.95,
2010-01-31,0.0,0.0,,109.19999999999999,,,0.0,76.52000000000001,,0.0,4084.83,,63.24,910.43,4690.77,1432.02,,,39.67,0.0,,,,,18570.88,27.82,0.0,0.0,117.72,,,,889.55,301.70000000000005,0.0,,595.95,0.0,110790.591,823.15,
2010-02-07,0.0,437.90000000000003,,191.7,,,0.0,0.0,,0.0,9455.07,,0.0,1752.85,1795.26,0.0,,,0.0,159.66,,,,1636.38,266.5,0.0,0.0,0.0,403.33000000000004,931.43,,,509.04,0.0,0.0,,0.0,0.0,95340.552,0.0,
2010-02-14,662.25,562.96,,0.0,,,0.0,0.0,,0.0,1612.06,,0.0,5308.52,4720.93,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,55.5,0.0,,,0.0,87.4,477.68,,0.0,0.0,66868.85,0.0,
2010-02-21,202.56,0.0,,3017.3,,,0.0,712.39,,19809.899999999998,4524.03,,0.0,0.0,972.5500000000001,0.0,,,0.0,0.0,,,,0.0,14957.6,0.0,0.0,0.0,0.0,0.0,,,0.0,1677.42,0.0,,0.0,0.0,115261.842,0.0,
2010-02-28,164.85,118.00000000000001,,0.0,,,0.0,38.099999999999994,,0.0,4615.3,,0.0,1962.79,1635.51,0.0,,,0.0,34.06,,,,0.0,2031.29,0.0,0.0,0.0,0.0,0.0,,,45.0,6437.76,0.0,,0.0,1310.3000000000002,133606.692,0.0,
2010-03-07,394.59,0.0,,904.02,,,0.0,0.0,,0.0,11452.29,,0.0,3678.23,4817.14,522.73,,,154.14,0.0,,,,0.0,1562.94,0.0,0.0,318.86,633.6800000000001,0.0,,,438.8,0.0,607.6800000000001,,0.0,0.0,126888.4,0.0,
2010-03-14,0.0,348.32,,0.0,,,0.0,337.74,,728.88,1469.51,,0.0,1455.7,1735.82,0.0,,,580.08,0.0,,,,0.0,13023.86,0.0,0.0,0.0,0.0,0.0,,,364.79,1037.2,0.0,,0.0,0.0,98040.0,0.0,
2010-03-21,0.0,0.0,,0.0,,,0.0,1417.94,,6866.3,3799.11,,0.0,2337.83,5363.19,0.0,,,0.0,110.4,,,,0.0,546.0,0.0,13916.34,0.0,0.0,0.0,,,0.0,46.8,343.94,,0.0,0.0,130498.511,0.0,
2010-03-28,34.8,576.8100000000001,,0.0,,,0.0,1123.51,,0.0,4838.18,,0.0,1185.83,4781.93,0.0,,,0.0,0.0,,,,0.0,9315.18,0.0,0.0,0.0,1885.3700000000001,0.0,,,822.84,253.57999999999998,0.0,,0.0,1201.52,146691.21,0.0,
2010-04-04,0.0,0.0,,245.76,,,1065.12,0.0,,0.0,1430.37,,0.0,714.0,2443.71,0.0,,,0.0,0.0,,,,0.0,2831.66,0.0,0.0,0.0,0.0,0.0,,,54.09,0.0,0.0,,0.0,0.0,110073.57,0.0,
2010-04-11,396.2,0.0,,0.0,,,0.0,0.0,,0.0,1015.48,,0.0,2550.1,6764.65,0.0,,,0.0,0.0,,,,0.0,976.0,0.0,0.0,0.0,0.0,0.0,,,0.0,5478.0,728.8,,0.0,0.0,106629.01,252.51999999999998,
2010-04-18,0.0,0.0,,1439.09,,,926.82,0.0,,0.0,10643.16,,0.0,1325.54,4387.571,0.0,,,0.0,0.0,,,,0.0,762.37,0.0,0.0,0.0,0.0,0.0,,,833.98,9534.84,0.0,,0.0,0.0,112262.45,0.0,
2010-04-25,0.0,0.0,,0.0,,,0.0,1151.7,,748.0,6027.96,,1255.13,1323.21,7592.3099999999995,0.0,,,0.0,0.0,,,,0.0,964.25,0.0,0.0,0.0,0.0,0.0,,,0.0,2685.28,0.0,,0.0,0.0,117823.11,0.0,
2010-05-02,234.75000000000003,1388.54,,885.5400000000001,,,0.0,0.0,,0.0,4079.75,,0.0,1492.33,2726.84,277.93,,,1525.85,0.0,,,,0.0,1488.3,0.0,0.0,0.0,85.53999999999999,0.0,,1252.95,0.0,0.0,1210.96,,0.0,0.0,155148.401,0.0,
2010-05-09,1520.07,0.0,,98.15,,,1194.48,0.0,,0.0,9517.56,,0.0,9320.91,2568.79,0.0,,,1008.9499999999999,0.0,,,,0.0,18002.0,0.0,0.0,0.0,0.0,0.0,,0.0,2129.65,0.0,0.0,,0.0,0.0,104203.41,0.0,
2010-05-16,0.0,0.0,,0.0,,,0.0,515.61,,0.0,3154.6800000000003,,837.11,2937.43,1652.36,413.55999999999995,,,945.75,0.0,,,,0.0,2311.06,0.0,0.0,0.0,0.0,0.0,,0.0,724.93,3556.7599999999998,535.37,,416.31,0.0,138020.81,0.0,
2010-05-23,791.16,0.0,488.21000000000004,0.0,,,782.8,0.0,,0.0,2737.7200000000003,,0.0,300.6,3421.98,2062.66,,,420.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,632.95,0.0,,0.0,0.0,0.0,7802.09,,0.0,0.0,120034.66,0.0,
2010-05-30,59.92,622.04,0.0,0.0,,,3401.2400000000002,0.0,,0.0,1939.68,,0.0,1399.21,1233.3799999999999,0.0,,,0.0,0.0,,,,0.0,1969.67,0.0,0.0,0.0,124.25,0.0,,0.0,0.0,0.0,1487.7,,0.0,0.0,130320.33,0.0,
2010-06-06,0.0,0.0,0.0,489.26,,,0.0,0.0,,0.0,2019.81,,0.0,2156.96,2003.43,0.0,,,12.75,0.0,,,,0.0,4572.62,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,79636.37,0.0,
2010-06-13,446.54,268.1,0.0,0.0,,,0.0,0.0,,1407.3600000000001,2164.68,,534.14,1631.08,4792.89,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,1590.1100000000001,0.0,,0.0,1708.56,206.20000000000002,211.2,,360.0,0.0,185933.06,0.0,
2010-06-20,0.0,0.0,0.0,346.25,,,0.0,0.0,,1288.1499999999999,13553.81,,0.0,2415.8,4368.99,0.0,,,254.7,0.0,,,,0.0,4521.71,0.0,0.0,0.0,0.0,0.0,,0.0,623.64,0.0,0.0,,0.0,0.0,100020.73,0.0,
2010-06-27,441.5,0.0,0.0,367.48,,,845.0,489.8,,0.0,3833.81,,0.0,1181.66,1544.87,0.0,,,0.0,375.33,,,,0.0,98.7,0.0,0.0,556.16,848.02,0.0,,0.0,0.0,0.0,0.0,1956.84,366.07,0.0,91351.12,0.0,
2010-07-04,2326.7400000000002,0.0,0.0,2597.35,,,0.0,0.0,,0.0,2276.56,,0.0,2128.84,8636.43,302.4,,1950.98,0.0,219.35,,,,0.0,15253.88,0.0,0.0,374.75,1230.33,0.0,,0.0,0.0,708.1,2574.88,0.0,170.0,0.0,130757.87,0.0,
2010-07-11,294.88,0.0,0.0,553.37,,,0.0,0.0,,591.6600000000001,23903.27,,0.0,1906.1200000000001,5056.22,0.0,,0.0,0.0,18.3,,,,0.0,496.45,0.0,0.0,0.0,288.1,0.0,,0.0,0.0,0.0,0.0,1113.7,0.0,0.0,102841.04000000001,0.0,
2010-07-18,336.24,0.0,0.0,0.0,,,0.0,0.0,,0.0,4869.36,,639.08,1138.99,5079.66,0.0,,0.0,0.0,0.0,,,1706.23,0.0,196.65,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,128661.84,2379.88,
2010-07-25,0.0,0.0,0.0,1166.76,,,0.0,0.0,,0.0,794.2,,317.15,1746.44,2649.28,0.0,,0.0,0.0,1235.0,,,0.0,0.0,3796.86,0.0,0.0,0.0,0.0,0.0,,0.0,77.8,1518.96,320.38,,0.0,0.0,120441.75,0.0,
